codigo_ocorrencia,aeronave_matricula,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_pais_registro,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_fase_operacao_icao,aeronave_tipo_operacao,aeronave_nivel_dano,total_fatalidades,aeronave_dia_extracao
201312116289645,PRAYZ,OPERADOR DE AERONAVE,AVI√O,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,52290,ACIMA DE 5700 KG,125,2011,BRASIL,BRASIL,TPR,REGULAR,****,****,CRUZEIRO,EN ROUTE,VOO REGULAR,NENHUM,0,5/31/2019
201303053900887,PRAYZ,OPERADOR DE AERONAVE,AVI√O,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,52290,ACIMA DE 5700 KG,125,2011,BRASIL,BRASIL,TPR,REGULAR,****,****,CRUZEIRO,EN ROUTE,VOO REGULAR,LEVE,0,5/31/2019
201810161348176,PRATV,OPERADOR DE AERONAVE,AVI√O,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOHELICE,BIMOTOR,23000,ACIMA DE 5700 KG,75,2012,FRAN«A,BRASIL,TPR,REGULAR,SBCF,SBUR,DESCIDA,EN ROUTE,VOO REGULAR,NENHUM,0,5/31/2019
201303237797626,PRATV,OPERADOR DE AERONAVE,AVI√O,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOHELICE,BIMOTOR,23000,ACIMA DE 5700 KG,75,2012,FRAN«A,BRASIL,TPR,REGULAR,****,****,CRUZEIRO,EN ROUTE,VOO REGULAR,LEVE,0,5/31/2019
201404246562661,PRATV,OPERADOR DE AERONAVE,AVI√O,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOHELICE,BIMOTOR,23000,ACIMA DE 5700 KG,75,2012,FRAN«A,BRASIL,TPR,REGULAR,****,****,ESTACIONAMENTO,STANDING,VOO REGULAR,LEVE,0,5/31/2019
201303254483783,PRLDW,OPERADOR DE AERONAVE,HELICOPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,ENTRE 2250 E 5700 KG,14,2008,ESTADOS UNIDOS,BRASIL,TPX,T¡XI A…REO,****,****,APROXIMA«√O FINAL,APPROACH,T¡XI A…REO,NENHUM,0,5/31/2019
201303299043682,PRLDX,OPERADOR DE AERONAVE,HELICOPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,ENTRE 2250 E 5700 KG,14,2011,ESTADOS UNIDOS,BRASIL,TPX,T¡XI A…REO,****,****,APROXIMA«√O FINAL,APPROACH,T¡XI A…REO,NENHUM,0,5/31/2019
201509112848119,PROND,OPERADOR DE AERONAVE,AVI√O,AIRBUS INDUSTRIE,A318-121,A318,JATO,BIMOTOR,63000,ACIMA DE 5700 KG,129,2008,FRAN«A,BRASIL,TPR,REGULAR,SBRF,SBRF,CRUZEIRO,EN ROUTE,VOO REGULAR,NENHUM,0,5/31/2019
201304158699212,PROND,OPERADOR DE AERONAVE,AVI√O,AIRBUS INDUSTRIE,A318-121,A318,JATO,BIMOTOR,63000,ACIMA DE 5700 KG,129,2008,FRAN«A,BRASIL,TPR,REGULAR,****,****,OUTRA FASE,UNKNOWN,VOO REGULAR,NENHUM,0,5/31/2019
201304151284880,PTIMV,OPERADOR PARTICULAR,AVI√O,CESSNA AIRCRAFT,182P,C182,PIST√O,MONOMOTOR,1338,AT… 2250 KG,4,1973,ESTADOS UNIDOS,BRASIL,TPP,PARTICULAR,****,****,T¡XI,TAXI,VOO PRIVADO,NENHUM,0,5/31/2019
201407191270780,PRAXI,OPERADOR DE AERONAVE,AVI√O,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,52290,ACIMA DE 5700 KG,125,2012,BRASIL,BRASIL,TPR,REGULAR,****,****,CRUZEIRO,EN ROUTE,VOO REGULAR,NENHUM,0,5/31/2019
201902261828385,PTLSY,OPERADOR PARTICULAR,AVI√O,BEECH AIRCRAFT,B36TC,BE36,PIST√O,MONOMOTOR,1746,AT… 2250 KG,6,1989,ESTADOS UNIDOS,BRASIL,TPP,PARTICULAR,SBPP,SDAM,CRUZEIRO,EN ROUTE,VOO PRIVADO,LEVE,0,5/31/2019
201808221232062,PTVPH,OPERADOR PARTICULAR,AVI√O,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PIST√O,BIMOTOR,2155,AT… 2250 KG,6,1992,BRASIL,BRASIL,TPP,PARTICULAR,SWNV,SWNV,CORRIDA APOS POUSO,LANDING,VOO PRIVADO,LEVE,0,5/31/2019
201304254474564,PRZAI,OPERADOR PARTICULAR,AVI√O,AEROCENTRO AERONAVES,RV-10,ZZZZ,PIST√O,MONOMOTOR,1224,AT… 2250 KG,4,2013,N√O IDENTIFICADO,BRASIL,PET,EXPERIMENTAL,****,****,DECOLAGEM,TAKEOFF,VOO EXPERIMENTAL,DESTRU√çDA,1,5/31/2019
201710140140538,PTLSC,OPERADOR PARTICULAR,AVI√O,CESSNA AIRCRAFT,U206G,C206,PIST√O,MONOMOTOR,1633,AT… 2250 KG,6,1980,ESTADOS UNIDOS,BRASIL,TPP,PARTICULAR,****,****,DECOLAGEM,TAKEOFF,VOO PRIVADO,DESTRU√çDA,1,5/31/2019
201304216023051,PTICH,OPERADOR PARTICULAR,AVI√O,PIPER AIRCRAFT,PA-28R-200,P28R,PIST√O,MONOMOTOR,1202,AT… 2250 KG,4,1972,ESTADOS UNIDOS,BRASIL,TPP,PARTICULAR,SWXM,SWSI,DESCIDA,EN ROUTE,VOO PRIVADO,SUBSTANCIAL,0,5/31/2019
201304261869005,PRLJI,OPERADOR DE AERONAVE,AVI√O,CESSNA AIRCRAFT,210L,C210,PIST√O,MONOMOTOR,1724,AT… 2250 KG,6,1975,ESTADOS UNIDOS,BRASIL,TPX,T¡XI A…REO,SISO,SBJC,CIRCUITO DE TR√ÅFEGO,APPROACH,T¡XI A…REO,SUBSTANCIAL,2,5/31/2019
201304245164233,PRVIP,OPERADOR DE AERONAVE,AVI√O,BEECH AIRCRAFT,200,BE20,TURBOHELICE,BIMOTOR,5670,ENTRE 2250 E 5700 KG,10,1978,ESTADOS UNIDOS,BRASIL,TPX,T¡XI A…REO,SWDN,SBPJ,POUSO,LANDING,T¡XI A…REO,LEVE,0,5/31/2019
201412073727680,PTYHP,OPERADOR PARTICULAR,HELICOPTERO,ROBINSON HELICOPTER,R44,R44,PIST√O,MONOMOTOR,1089,AT… 2250 KG,4,1998,ESTADOS UNIDOS,BRASIL,TPP,PARTICULAR,****,****,DECOLAGEM,TAKEOFF,VOO PRIVADO,SUBSTANCIAL,0,5/31/2019
201304072356288,PPXNZ,OPERADOR PARTICULAR,AVI√O,FABRICACAO PROPRIA,CMA,ZZZZ,PIST√O,SEM TRA«√O,600,AT… 2250 KG,1,0,N√O IDENTIFICADO,BRASIL,PEX,EXPERIMENTAL,****,****,PARTIDA DO MOTOR,STANDING,VOO EXPERIMENTAL,NENHUM,0,5/31/2019
201608261751495,PUEDR,OPERADOR PARTICULAR,ULTRALEVE,ANDRE A.FERDINAND,BUCKER,ULAC,PIST√O,MONOMOTOR,700,AT… 2250 KG,2,2005,N√O IDENTIFICADO,BRASIL,PET,EXPERIMENTAL,SSCF,SBLJ,CORRIDA APOS POUSO,LANDING,VOO EXPERIMENTAL,SUBSTANCIAL,0,5/31/2019
201409125918403,PUEDR,OPERADOR PARTICULAR,ULTRALEVE,ANDRE A.FERDINAND,BUCKER,ULAC,PIST√O,MONOMOTOR,700,AT… 2250 KG,2,2005,N√O IDENTIFICADO,BRASIL,PET,EXPERIMENTAL,****,****,CORRIDA APOS POUSO,LANDING,VOO EXPERIMENTAL,SUBSTANCIAL,0,5/31/2019
201304306504183,PUEDR,OPERADOR PARTICULAR,ULTRALEVE,ANDRE A.FERDINAND,BUCKER,ULAC,PIST√O,MONOMOTOR,700,AT… 2250 KG,2,2005,N√O IDENTIFICADO,BRASIL,PET,EXPERIMENTAL,****,****,ARREMETIDA NO SOLO,APPROACH,VOO EXPERIMENTAL,LEVE,0,5/31/2019
201801151806096,PTKDN,OPERADOR PARTICULAR,AVI√O,CESSNA AIRCRAFT,172M,C172,PIST√O,MONOMOTOR,1043,AT… 2250 KG,4,1974,ESTADOS UNIDOS,BRASIL,TPP,PARTICULAR,SSER,SBPA,CRUZEIRO,EN ROUTE,VOO PRIVADO,NENHUM,0,5/31/2019
201305055424986,PUAUN,OPERADOR PARTICULAR,ULTRALEVE,ORION LTDA,F1A EAGLE,ULAC,PIST√O,MONOMOTOR,450,AT… 2250 KG,2,2005,N√O IDENTIFICADO,BRASIL,PET,EXPERIMENTAL,****,****,CIRCUITO DE TR√ÅFEGO,APPROACH,VOO EXPERIMENTAL,SUBSTANCIAL,0,5/31/2019
201305038658699,PTGUR,OPERADOR PARTICULAR,AVI√O,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PIST√O,MONOMOTOR,1800,AT… 2250 KG,1,1980,BRASIL,BRASIL,SAE-AG,AGRÕCOLA,****,****,ESPECIALIZADA,MANEUVERING,OPERA«√O AGRÕCOLA,DESTRU√çDA,1,5/31/2019
